,episode_no,Score,step_count,exec_time,rolling_step_count,rolling_Score,model_identifier,identifier_param,loss_fn_env,model_name,reached_goal,more_than_200,for_goal_analysis,rolling_exec_time,step_count_cumsum,exec_time_cumsum
3686,414,278.76732763231405,311,0.8168165683746338,499.52,201.0648135487592,C,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_1,True,True,True,0.5974917817115784,269365,931.8844614028931
5544,1577,295.85525478392043,309,0.1835103034973144,411.67,200.01925062830315,C,10.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_10,True,True,True,0.0226992654800414,614216,736.0563726425171
12657,635,226.2816537895886,398,0.5834400653839111,390.29,200.1720303676536,C,3.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_3,True,True,True,0.0220111560821532,248396,420.16613578796387
18060,5323,217.8619540091879,407,0.2333755493164062,481.35,201.4763224127315,C,50.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_50,True,True,True,2.2605691361427307,1216747,922.9852125644682
19373,635,226.2816537895886,398,0.8816416263580322,390.29,200.1720303676536,_N,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_1,True,True,True,0.0824791979789733,248396,592.2857072353363
20009,556,307.4657876907157,249,0.3171505928039551,417.73,201.9129583973097,_N,10.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_10,True,True,True,0.3078366613388061,230481,515.9356939792633
20773,718,163.60989233163946,396,0.5295825004577637,439.54,200.08211325363231,_N,100.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_100,True,True,True,0.1522704863548278,388961,710.3097217082977
22097,1052,287.842329538586,285,0.2992005348205566,385.99,200.346509296884,_N,1000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_1000,True,True,True,0.7148479890823364,537761,940.8853299617767
23158,817,287.4662355047068,292,0.5006279945373535,426.19,200.02325175968355,_N,3.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_3,True,True,True,2.039175631999969,422001,1028.1130952835083
24218,611,261.28695273995663,461,0.8267874717712402,439.82,200.0243610930553,_N,50.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_50,True,True,True,1.6388165283203124,240260,498.1351613998413
25276,835,229.7351741711528,195,0.1974706649780273,426.32,200.0331186873858,_N,500.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_500,True,True,True,1.804244079589844,475528,891.4086883068085
27629,2028,211.82149646782307,352,0.4398236274719238,433.27,200.0616677600721,_N,5000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_5000,True,True,True,0.4033711075782776,1323366,2366.2897458076477
30407,797,246.98792534529244,399,0.6871604919433594,493.86,200.0866002163865,repeat,0.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_0,True,True,True,1.0009630465507506,467006,1193.6789014339447
31407,635,226.2816537895886,398,0.8227999210357666,390.29,200.1720303676536,repeat,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_1,True,True,True,,248396,541.1551430225372
32037,550,260.0961198738338,292,0.4767251014709472,477.47,202.38184883152064,repeat,2.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_2,True,True,True,0.6691907835006714,259530,584.9133851528168
32842,623,205.39029533853977,421,0.6841697692871094,490.64,201.73572697598823,repeat,3.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_3,True,True,True,0.5402650594711303,314741,695.5084574222565
33733,582,229.67301912676103,294,0.4497978687286377,318.74,200.93479916143988,repeat,4.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_4,True,True,True,0.6450051426887512,254062,603.0255191326141
34853,714,228.47667223314704,319,0.8098335266113281,410.1,200.0849350528849,repeat,5.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_5,True,True,True,0.1431575632095336,359566,880.6229729652405
35855,650,242.4642453765047,301,0.4348375797271728,442.64,200.1608149773909,repeat,6.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_6,True,True,True,0.121853859424591,292583,696.9859774112701
37077,582,257.268316527353,358,0.776923418045044,400.05,200.3447670371192,repeat,7.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_7,True,True,True,0.0979979610443114,256481,644.4679608345032
37876,572,231.91890252363328,314,0.5694785118103027,480.77,200.7097420033607,repeat,8.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_8,True,True,True,0.2840903973579406,263181,702.4456233978271
38739,668,265.77694151326455,440,0.8247616291046143,481.74,200.0934590042569,repeat,9.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_9,True,True,True,0.1269204211235045,316266,742.6946120262146
63535,635,226.2816537895886,398,0.6821751594543457,390.29,200.1720303676536,gamma,0.99,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_0.99,True,True,True,0.7919300270080566,248396,484.35641717910767
67032,2889,-4.296301746041792,354,0.509636640548706,455.57,200.1419423016152,alpha,0.0001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.0001,True,True,True,0.6791648316383362,2266899,5483.121620178223
68369,635,226.2816537895886,398,0.7819085121154785,390.29,200.1720303676536,alpha,0.0005,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.0005,True,True,True,0.5983096098899842,248396,532.5628740787506
69210,761,-465.3773829611058,82,0.1037237644195556,334.05,200.22297169705936,alpha,0.001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.001,True,True,True,,317260,668.5784673690796
76622,567,-96.21795931301268,473,0.7509918212890625,449.68,200.26280278981932,ep_decay,0.0001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_0.0001,True,True,True,1.487371563911438,332266,785.9504811763763
78575,1615,249.9688646879295,409,0.6273252964019775,462.83,200.0192283726964,ep_decay,1e-05,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_1e-05,True,True,True,1.8268489599227904,326172,558.3654098510742
79562,635,226.2816537895886,398,0.7948737144470215,390.29,200.1720303676536,ep_decay,5e-05,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_5e-05,True,True,True,1.54124742269516,248396,561.2992389202118
82630,2988,215.65449903638407,622,1.264617919921875,621.18,200.4276748900176,ep_decay,5e-06,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_5e-06,True,True,True,0.3043465876579284,531648,847.4514429569243
83378,626,276.41727853784505,446,1.0392544269561768,431.7,201.7830832499772,batch_size,128.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_128,True,True,True,0.5511978960037232,287380,647.618625164032
84264,576,185.55127669066732,332,0.7440428733825684,404.55,200.1527875380787,batch_size,256.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_256,True,True,True,,218134,561.1468107700348
85518,914,208.38108151085697,414,0.5036520957946777,427.66,200.11331993678385,batch_size,32.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_32,True,True,True,1.739189658164978,429800,687.6701574325562
86690,635,226.2816537895886,398,0.6123602390289307,390.29,200.1720303676536,batch_size,64.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_64,True,True,True,0.5805671548843384,248396,456.669410943985
93406,635,226.2816537895886,398,0.6223351955413818,390.29,200.1720303676536,state_space,128.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_128,True,True,True,,248396,425.03811287879944
94020,534,284.4506143277499,323,0.4767251014709472,434.94,203.1469264929489,state_space,256.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_256,True,True,True,1.70275506734848,208908,422.23149824142456
98128,3983,29.506668790891723,158,0.1745345592498779,370.92,200.0759837109328,state_space,32.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_32,True,True,True,0.4949361300468445,2473621,3910.0636484622955
100429,1212,272.9082312334351,331,0.393946886062622,559.74,200.20338533569387,state_space,64.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_64,True,True,True,0.8455933904647828,695629,1169.738520860672
101677,635,278.64643971039146,273,0.3450770378112793,381.65,201.5547498757779,replay_memory_size,10000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_10000,True,True,True,1.3448926043510436,215092,344.2443220615387
102617,635,226.2816537895886,398,0.7041184902191162,390.29,200.1720303676536,replay_memory_size,100000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_100000,True,True,True,0.5826614785194397,248396,464.1612584590912
