,episode_no,Score,step_count,exec_time,rolling_step_count,rolling_Score,model_identifier,identifier_param,loss_fn_env,model_name,reached_goal,more_than_200,for_goal_analysis,rolling_exec_time,step_count_cumsum,exec_time_cumsum
3966,694,307.31791296984,215,0.5106346607208252,284.58,250.49213724929143,C,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_1,,True,False,0.2625078845024108,359469,1179.9230117797852
6020,2053,299.9223193651786,252,0.1555850505828857,298.94,250.10759428123387,C,10.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_10,,True,False,0.0153689575195312,778338,868.3594608306885
12021,6000,-30.084620655055872,130,0.0349059104919433,121.29,-73.67875629195366,C,100.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_100,,False,True,0.0180716490745543,634647,134.92452168464632
12736,714,223.8361688570582,325,0.455782413482666,342.99,250.83058647304625,C,3.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_3,,True,False,0.0228389048576354,275439,455.4348030090332
18737,6000,262.6996448612755,266,0.1326456069946289,404.63,193.2795034190615,C,50.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_C_50,,False,True,2.0027462339401243,1507208,1147.6622393131254
19452,714,223.8361688570582,325,0.7440102100372314,342.99,250.83058647304625,_N,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_1,,True,False,0.1231703758239745,275439,647.1310677528381
20054,601,242.80898537392667,338,0.5854344367980957,333.55,251.5102371224349,_N,10.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_10,,True,False,0.2980528020858765,244093,538.6409378051758
21044,989,208.10566596414367,493,0.7110962867736816,333.51,252.56002302314812,_N,100.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_100,,True,False,2.7147826409339904,480433,826.2216851711273
22340,1295,266.9569477221632,233,0.2283892631530761,320.14,250.19112472899187,_N,1000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_1000,,True,False,0.9290448331832886,616124,1039.2103548049927
23606,1265,224.96901665475508,419,0.800858736038208,334.58,251.94676940349007,_N,3.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_3,,True,False,0.4255616593360901,575158,1292.2009217739105
24440,833,233.2791476819651,229,0.2672839164733886,305.28,250.5257903725178,_N,50.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_50,,True,False,1.2367716002464295,310384,595.0808517932892
25600,1159,293.9255889867974,253,0.2692790031433105,252.34,250.0622359678704,_N,500.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_500,,True,False,0.8754783058166504,567105,1002.9683368206024
29609,4008,247.0919886387091,223,0.2593061923980713,235.36,251.81722473620823,_N,5000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2__N_5000,,True,False,2.6227409410476685,2097382,3527.0147762298584
67733,3590,257.5168633933956,345,0.5914173126220703,324.11,250.9614400961333,alpha,0.0001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.0001,,True,False,0.4894108796119689,2558659,6036.679535150528
68448,714,223.8361688570582,325,0.5355668067932129,342.99,250.83058647304625,alpha,0.0005,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.0005,,True,False,0.6623584651947021,275439,578.9079613685608
70227,1778,304.4240442152277,271,0.3769810199737549,340.26,250.4893974439429,alpha,0.001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.001,,True,False,0.5789814019203186,805045,1685.4333350658417
70900,672,-916.4943355539287,404,0.7460050582885742,163.61,-807.0729266711012,alpha,0.005,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.005,,False,True,0.6327877998352051,179052,332.04270935058594
